ACCT_CODE,COMPANY_NAME
 2.61899662 , ACAN GROUP_FIBER   
 2.53097842 , ACAN_SEN TV   
 1.61287028 , ACEP  ACEP 
 2.54845874 , AD CENTER SERVICES   
 2.54871757 , AD CENTERS SERVICES ALMADIES   
 2.53097877 , ADI SENEGAL   
 1.60316840 , AFRICA  NEWS AGENCY 
 2.53212385 , AFRICA TECHNOLOGIES SAU 2MO   
 2.59063368 , AFRIW SUPERVISION   
 2.56131139 , AFRIX AFP   
 2.56448468 , AFR-IX AIR BUFRKINA   
 2.56448467 , AFR-IX ASECNA CRNA   
 2.56669310 , AFR-IX IBERIA   
 2.59084919 , AFRIX ICEX FIBER   
 2.56449037 , AFRIX PUMA RUFISQUE LINK   
 2.56131135 , AFR-IX PUMA THIARGANE BUILDING  
 2.56703402 , AFR-IX QATAR EMBASSY   
 2.53726085 , AFRIX SAMSUNG   
 2.55950436 , AFR-IX SITA 1 - 2ND LINK   
 2.57391957 , AFR-IX_AIR FRANCE   
 1.61287022 , AFRIX_NSIA  AFRIX_NSIA 
 1.62392933 , AGTS  SENEGAL 
 2.53254067 , ALIMA ONG   
 1.61899652 , ALMADIES  BANQUE ATLANTIQUE 
 1.59710066 , ALMOURIDHYA  TV 
 2.53212407 , AMBASSADE CHINE   
 2.55139945 , AMBASSADE D'AUTRICHE D'AUTRICHE D'AUTRICHE 
 2.54763375 , AMREF   
 2.54833082 , AMSA HQ   
 1.55950070 , APIX  APIX 
 2.58054234 , APIX SA 12MBPS   
 2.56147407 , ARC FIBER   
 2.54753915 , ARC GMD   
 2.53212482 , ARC INFORMATIQUE LS LS LS 
 2.59061179 , ARC_COLOC DKR71   
 2.60087794 , ARC_COLOC_DKR16   
 2.60571099 , ARC_COLOC_DKR30   
 2.60571101 , ARC_COLOC_DKR6   
 2.60087793 , ARC_COLOC_LTY   
 2.53148087 , ARC_EMIRATES   
 2.57590014 , ARC_ERES   
 2.53148102 , ARC_SAHAM ASSURANCE   
 2.53848477 , ARTP LS LS LS 
 2.53212331 , ARTP_2Mo   
 2.53212332 , ARTP-6MO   
 2.53212333 , ARTP-CSU   
 2.53212613 , ARTP-SONATEL MEDINA   
 2.53212611 , ARTP-SONATEL THIAROYE   
 2.53212334 , ARTP-TIGO   
 1.60316915 , ASCOMA  SENEGAL 
 2.53212340 , ASECNA VILLE BACK UP   
 2.59072118 , ASECNA VILLE FO   
 2.59072120 , ASECNA YOFF FO   
 2.53254415 , ATLANTIQUE BANQUE   
 2.54895553 , AUCHAN RETAIL DEPOT THIAROYE 
 2.57088960 , BANQUE ATLANTIQUE  ARCHIVE THIES 
 2.58054499 , BANQUE POUR LE COMMERCE ET L'INDUSTRIE 
 1.62400146 , BANQUEAGRICOLE GIMUEMOA INTERCO 
 1.63319590 , BARTURK_BARBARA  KYEREMAA ASAMOAH 
 2.57751233 , BASN BOURGUIBA   
 1.62988543 , BASTURK  AYA BENCHAIB BENSALAH 
 1.63317695 , BASTURK  ONDER CAYNAK 
 2.62452535 , BASTURK APPT 16   
 1.62862731 , BASTURK IMMO  ABDULLAH KAYA 
 1.62862729 , BASTURK IMMO  TUNCAY AHI 
 1.63319591 , BASTURK_HALIL  IBRAHIM ELSIKMA 
 1.62937416 , BASTURK_IMMO_  MEZANNINNE 
 2.53212360 , BBC AFRIQUE   
 2.54750299 , BCEAO   
 1.61899653 , BCEAO  CITIBANK HQ 
 1.61899654 , BCEAO  CITIBANK MEDINA 
 1.62820013 , BCEAO  FINAO 
 1.61902394 , BCEAO  INTERCO NSIA 
 1.60570546 , BCEAO  INTERCO POSTE FINANCES 
 1.61473315 , BCEAO AGENCE  FTTH 
 1.61909816 , BCI BCEAO  INTERCO 
 2.58053597 , BCI KEUR GORGUI   
 1.61912143 , BDK BCEAO  INTERCO 
 2.58496393 , BDK FH   
 2.59257308 , BDK FIBER   
 2.59261681 , BDK INTERCO   
 1.62401725 , BDK_TOUBA  INTERCO 
 2.62818804 , BGFI DAKA BGFI ABIDJAN   
 1.62301422 , BGFI PLATEAU  INTERCO_BGFI VDN 
 1.56670357 , BHS  BHS 
 1.62820010 , BICIS  BCEAO INTERCO 
 1.59258303 , BID  FIBER 
 2.54033156 , BIS  SARL 
 1.61912145 , BNDE BCEAO  INTERCO 
 2.58496074 , BOA BACKUP FH   
 2.55274805 , BOA BOA BOA 
 2.55270598 , BOA CENTENAIRE   
 2.62560059 , BOA COLOBANE   
 2.59261705 , BOA DIOR   
 2.62560051 , BOA FASS   
 2.58496078 , BOA FIBER   
 2.55479905 , BOA FRONT DE TERRE   
 2.62819542 , BOA MALICK SY   
 2.62899446 , BOA MBOUR CENTER   
 2.62819480 , BOA NGOR   
 2.62819539 , BOA PA   
 2.62560049 , BOA PLACE DE LINDEPENDANCE   
 2.55274807 , BOA RUFISQUE   
 2.62899447 , BOA SALY CENTER   
 2.62820005 , BOA SEBIKOTANE   
 2.58054910 , BOA SEDIMA   
 2.62767091 , BOA ST LOUIS   
 2.62767089 , BOA TAMBA   
 2.58495615 , BOA TOUBA   
 2.62560038 , BOA VDN   
 2.57195833 , BOA YOFF   
 2.62560042 , BOA ZI-PARTICULIER   
 1.62400529 , BOA_GIMUEMOA  INTERCO 
 2.56131153 , BOA_ZONE INDUSTRIELLE   
 2.58496080 , BOLLORE BACK UP FH   
 2.58496079 , BOLLORE FIBER   
 2.55579683 , BOLLORE INTERCO INTERCO INTERCO 
 1.57088482 , BP  SENEGAL 
 2.57391913 , BP FIBER STANBY   
 2.57391915 , BP SENEGAL FIBRE   
 2.53264599 , BRM   
 2.54804598 , BRM   
 2.62392262 , BRM  FIBRE_ROTONDE. 
 1.56673211 , BROOKE  BROOKE 
 1.61899282 , BSIC  INTERCO 
 1.60085104 , BSIC_HQ  WIFI 
 1.60571691 , BSK  IMMO 
 2.55227535 , CAISSE DE SECURITE SOCIALE   
 2.51113289 , CAISSE DES DEPOTS ET CONSIGNATION ET CONSIGNATION 
 2.53212396 , CALL INVEST   
 2.55544388 , CAPRICORN SENEGAL LIMITED   
 1.59111039 , CARINE  DIAITE 
 2.55591817 , CASL   
 2.62514001 , CBAO 2K PLAZZA   
 2.54827287 , CBAO CASTOR   
 2.54827226 , CBAO CLAIRE DE LUNE   
 2.54827236 , CBAO FOIRE   
 2.58495636 , CBAO GUEDIAWAYE   
 2.61911725 , CBAO KEUR MASSAR 
 2.54827220 , CBAO LIBERTE   
 2.54827233 , CBAO NGOR   
 2.54827255 , CBAO PIKINE1   
 2.54827258 , CBAO RUFISQUE CBEAO CBEAO 
 2.54827210 , CBAO SIEGE   
 2.54827270 , CBAO SIPRES   
 1.62393556 , CBAO VDN  CBAO VDN 
 2.55480227 , CBAO ZONE INDUSTRIELLE 1   
 2.55480228 , CBAO ZONE INDUSTRIELLE 2   
 1.61912146 , CBAO_BCEAO  INTERCO 
 1.61492666 , CBAO_GAP_POINT.E  CBAO_GAP_POINT.E 
 1.61912150 , CDS_BCEAO  INTERCO 
 1.60625019 , CDS_RADISSON_INTERCO  CDS_RADISSON_INTERCO 
 2.62921807 , CFAO  SALY 
 2.55142655 , CGF BOURSE BOURSE BOURSE 
 2.59061737 , CITYBANK INTERCO   
 2.54991227 , CNCAS   
 1.61469792 , COGECA  ORABANK 
 2.53727531 , COMASEL LS   
 1.62819135 , CORI BANK  RUFISQUE 
 2.57196122 , CORI HQ   
 2.57196123 , CORIS BANK BOURGUIBA   
 2.61911731 , CORIS BANK PARCELLES 
 1.62400178 , CORIS_BANK_  KEUR MASSAR 
 2.62400173 , CORIS_BANK_MARISTE   
 2.62819146 , CORIS_BANK_MERMOZ   
 2.62400180 , CORIS_BANK_PIKINE   
 2.62819141 , CORIS_BANK_SIPRES II   
 2.59261243 , CRC SAS   
 1.61899284 , CREDIT INTERNATIONAL BCEAO  INTERCO 
 2.54788067 , CSU SA HAYO 
 2.57072478 , DAKAR TERMINAL DIAMNIADIO   
 2.53543137 , DIRECTION GENERALE DE LA COMPTABILITE PUBLIQUE ET DU TRESOR 
 2.53212460 , DOLPHIN   
 1.58787202 , DOLPHIN  EMBASSY 
 1.59084398 , DRN  DRN 
 2.59494697 , ECOBANK HQ_FIBER   
 2.53212454 , Ecobank ROUME   
 2.56549434 , ECOBANK TAMBA   
 2.54631434 , ECOBANK ZIGUINCHOR   
 1.59261578 , ETG  EMIRATES 
 2.57391950 , EXCAF GAMBIA LIMITED   
 1.60087582 , FAO  FAO 
 1.60660372 , FINAO  FINAO 
 2.53212510 , GD SAINT LOUIS SAINT LOUIS SAINT LOUIS 
 2.53212433 , GDS DAKAR   
 2.53212596 , GIM-UEMOA   
 1.61902393 , GIMUEMOA  INTERCO BCI 
 1.62400126 , GIMUEMOA  INTERCO_CBAO 
 2.56670775 , GIM-UEMOA INTERCO   
 2.55481955 , GIM-UEMOA IPLC   
 1.61912148 , GIMUEMOA_BCEAO  INTERCO 
 2.53212590 , GRIMALDI SENEGAL   
